,fecha,SO2,NO2,CO,O3,PM10,PM2.5
240,2017-08-29,0.0041599999999999,0.0214166666666666,0.4,0.0390399999999999,26.36,13.24
241,2017-08-30,0.0081199999999999,0.0489166666666666,0.612,0.0313199999999999,39.28,20.04
242,2017-08-31,0.0047599999999999,0.0456399999999999,0.68,0.0712,47.4,28.64
243,2017-09-01,0.0041999999999999,0.0388399999999999,0.604,0.06724,37.76,23.6
244,2017-09-02,0.0097199999999999,0.0409199999999999,0.584,0.0696,48.72,31.8
245,2017-09-03,0.0107199999999999,0.0387599999999999,0.608,0.07844,52.8,37.16
246,2017-09-04,0.0055199999999999,0.0538,0.632,0.0611599999999999,46.16,33.8
247,2017-09-05,0.0045999999999999,0.0473199999999999,0.596,0.0196799999999999,35.2,19.92
248,2017-09-06,0.0062399999999999,0.0520399999999999,0.696,0.03204,42.6,26.36
249,2017-09-07,0.0072399999999999,0.0413599999999999,0.8960000000000001,0.06348,67.44,48.92
250,2017-09-08,0.0081666666666666,0.0549999999999999,0.94,0.07136,73.92,53.52
251,2017-09-09,0.0082083333333333,0.0529599999999999,0.8440000000000001,0.08736,83.8,61.28
252,2017-09-10,0.0045833333333333,0.0493199999999999,0.7879999999999999,0.0559599999999999,62.36,44.44
253,2017-09-11,0.0039199999999999,0.0401599999999999,0.648,0.0447199999999999,47.52,36.28
254,2017-09-12,0.0059999999999999,0.0404799999999999,0.6759999999999999,0.0599599999999999,42.96,27.52
255,2017-09-13,0.0056399999999999,0.04484,0.584,0.0545599999999999,33.8,17.16
256,2017-09-14,0.0047999999999999,0.0457599999999999,0.584,0.06856,35.92,18.48
257,2017-09-15,0.0039999999999999,0.0269999999999999,0.4,0.04124,23.08,13.96
258,2017-09-16,0.0039999999999999,0.0223999999999999,0.356,0.0330799999999999,16.76,9.12
259,2017-09-17,0.0037599999999999,0.0197599999999999,0.336,0.0394799999999999,15.76,9.32
260,2017-09-18,0.0050799999999999,0.0342399999999999,0.516,0.05076,33.4,18.8
261,2017-09-19,0.0060399999999999,0.0377999999999999,0.908,0.0758,106.92,70.28
262,2017-09-20,0.0047999999999999,0.0437599999999999,0.648,0.0528,59.16,37.2
263,2017-09-21,0.0055999999999999,0.06608,0.7120000000000001,0.0613199999999999,48.4,28.96
264,2017-09-22,0.0067199999999999,0.05944,0.684,0.0807999999999999,44.04,29.28
265,2017-09-23,0.0065599999999999,0.0471999999999999,0.6920000000000001,0.0625999999999999,90.44,34.52
266,2017-09-24,0.0053199999999999,0.0401999999999999,0.7040000000000001,0.07708,80.28,55.16
267,2017-09-25,0.00448,0.06492,0.8,0.06472,56.72,33.16
268,2017-09-26,0.0049999999999999,0.06348,0.708,0.07496,71.48,40.92
269,2017-09-27,0.0058799999999999,0.0602799999999999,0.7559999999999999,0.0522799999999999,71.64,46.04
270,2017-09-28,0.0051199999999999,0.0241199999999999,0.496,0.0475999999999999,48.88,16.08
271,2017-09-29,0.0064399999999999,0.0418799999999999,0.5479999999999999,0.0401599999999999,32.8,14.64
272,2017-09-30,0.0064799999999999,0.0558799999999999,0.804,0.0600399999999999,56.64,34.24
273,2017-10-01,0.0054799999999999,0.0474799999999999,0.772,0.0291199999999999,52.84,32.72
274,2017-10-02,0.0043599999999999,0.0310799999999999,0.496,0.04928,50.12,21.92
275,2017-10-03,0.0044799999999999,0.0186,0.42,0.0357199999999999,47.48,18.04
276,2017-10-04,0.00436,0.0275599999999999,0.396,0.04048,33.64,13.04
277,2017-10-05,0.0039599999999999,0.0295999999999999,0.444,0.0375199999999999,21.92,12.16
278,2017-10-06,0.0040799999999999,0.0201999999999999,0.38,0.0327199999999999,18.56,11.36
279,2017-10-07,0.0045999999999999,0.0425999999999999,0.62,0.03924,20.52,14.28
280,2017-10-08,0.0061999999999999,0.0419999999999999,0.6679999999999999,0.0569599999999999,30.32,23.24
281,2017-10-09,0.0081599999999999,0.0406799999999999,0.648,0.05692,33.541666666666664,24.0
282,2017-10-10,0.0063199999999999,0.0482799999999999,0.644,0.0285999999999999,40.24,25.56
283,2017-10-11,0.0039999999999999,0.0249199999999999,0.46,0.0307999999999999,25.84,17.48
284,2017-10-12,0.0043199999999999,0.0375999999999999,0.54,0.0257999999999999,33.0,19.12
285,2017-10-13,0.0045599999999999,0.0427599999999999,0.608,0.0369999999999999,36.8,20.96
286,2017-10-14,0.0045999999999999,0.0405199999999999,0.68,0.0448799999999999,31.68,18.4
287,2017-10-15,0.0045199999999999,0.0481999999999999,0.748,0.0460399999999999,31.6,18.64
288,2017-10-16,0.0047999999999999,0.0433999999999999,0.648,0.049,46.56,28.2
289,2017-10-17,0.0051599999999999,0.0659199999999999,0.8160000000000001,0.0426399999999999,53.76,32.0
290,2017-10-18,0.0044399999999999,0.0467599999999999,0.632,0.0327199999999999,39.24,24.2
291,2017-10-19,0.0044799999999999,0.0509599999999999,0.648,0.0429599999999999,30.44,17.76
292,2017-10-20,0.0049999999999999,0.0555999999999999,0.764,0.0433599999999999,49.08,27.6
293,2017-10-21,0.0049199999999999,0.0527199999999999,0.86,0.0495599999999999,55.083333333333336,31.04
